table_name,used_in_code,example_file
achievements,no,
activity_events,no,
activity_logs,yes,scripts/activity-logs.js
ai_feedback_insights,no,
ai_model_logs,no,
ai_model_performance,no,
ai_model_training_data,no,
ai_models,no,
ai_recommendation_logs,no,
analytics_aggregates,no,
analytics_dashboard_reports,no,
analytics_dashboards,no,
analytics_events,no,
analytics_reports,no,
api_logs,no,
app_settings,no,
ask_wheel_requests,no,
audit_log,no,
audit_logs,no,
blocks,no,
breakthrough_boards,no,
business_domains,yes,docs/BUSINESS_OPERATIONS_HUB_IMPLEMENTATION_PLAN.md
challenge_tool_recommendations,no,
challenge_tool_recommendations_view,no,
classification_rules,no,
comments,no,
communities,no,
community_analytics,no,
community_comments,no,
community_documents,no,
community_events,no,
community_groups,no,
community_members,no,
community_post_replies,no,
community_posts,no,
community_steps,no,
companies,yes,supabase/migrations/20250429_add_multi_tenant_terminology_system.sql
company_analytics,no,
company_budget,no,
company_budget_template_categories,no,
company_budget_templates,no,
company_challenge_progress,no,
company_challenge_progress_view,no,
company_custom_steps,no,
company_custom_tools,no,
company_domains,no,
company_focus_areas,no,
company_journey_ai_questions,no,
company_journey_ai_recommendations,no,
company_journey_maps,no,
company_journey_paths,no,
company_journey_step_tools,no,
company_journey_steps,no,
company_journey_steps1,no,
company_journey_summary,no,
company_journeys,no,
company_kpi_measurements,no,
company_members,yes,supabase/migrations/20250429_add_multi_tenant_terminology_system.sql
company_members_with_roles,no,
company_permissions,no,
company_principle_tracking,no,
company_progress,no,
company_roles,no,
company_step_dependencies,no,
company_step_kpis,no,
company_step_progress,no,
company_step_tasks,no,
company_step_tool_recommendations,no,
company_task_progress,no,
company_task_summary,no,
company_terminology,no,
company_tool_adoptions,no,
company_tool_documents,no,
company_tool_evaluations,no,
company_tool_scorecard_responses,no,
company_tool_scorecards,no,
company_tools,yes,supabase/migrations/20250429_add_multi_tenant_terminology_system.sql
consent_settings,no,
consultation_sessions,no,
content_mappings,no,
content_reactions,no,
contexts,no,
contribution_scores,no,
conversations,no,
custom_phases,no,
custom_step_arrangements,no,
custom_step_order,no,
customer_interviews,no,
decision_events,yes,docs/BUSINESS_OPERATIONS_HUB_IMPLEMENTATION_PLAN.md
deck_ai_update_proposals,no,
deck_collaborators,no,
deck_comment_reactions,no,
deck_comments,no,
deck_content_interaction_logs,no,
deck_feedback,no,
deck_learning_insights,no,
deck_review_assignments,no,
deck_sections,no,
deck_share_recipients,no,
deck_templates,no,
deck_versions,no,
deck_views,no,
decks,no,
discussion_threads,no,
dismissed_advice_cards,no,
domain_journey_mapping,yes,docs/BUSINESS_OPERATIONS_HUB_IMPLEMENTATION_PLAN.md
domain_notifications,no,
domain_relationships,no,
domain_statistics,no,
domain_step_logs,no,
domain_step_metadata,no,
domain_step_recommendations,no,
domain_step_statistics,no,
domain_steps,yes,BUSINESS_OPS_HUB_JOURNEY_GUIDE_IMPLEMENTATION_PLAN.md
domain_steps_status,no,
domains,no,
engagement_metrics,no,
enhanced_profiles,no,
event_registrations,no,
expert_availability,no,
expert_connect_requests,no,
expert_contract_templates,no,
expert_contracts,no,
expert_endorsements,no,
expert_payments,no,
expert_profiles,no,
expert_responses,no,
expert_sessions,no,
expert_step_template_specializations,no,
experts,no,
external_systems,no,
feature_flags,yes,scripts/migrate-to-modular-idea-playground.js
feedback_categories,no,
feedback_category_assignments,no,
feedback_notifications,no,
feedback_resolutions,no,
feedback_summary_by_category,no,
feedback_summary_by_step,no,
forge_sessions,no,
frontend_logs,no,
group_memberships,no,
growth_metrics,no,
idea_components,no,
idea_feedback,no,
idea_tags,no,
ideas,yes,docs/idea-playground/DATABASE_SCHEMA.md
imported_phases,no,
imported_steps,no,
imported_tools,no,
integration_credentials,no,
journey_challenge_tools,no,
journey_challenges,no,
journey_challenges_view,no,
journey_domains,no,
journey_feature_events,no,
journey_phases,yes,supabase/migrations/20250505000000_journey_system_unification.sql
journey_phases1,no,
journey_recommendations,no,
journey_step_checklists,no,
journey_step_feedback,no,
journey_step_options,no,
journey_step_recommendations,no,
journey_step_relationships,yes,journey/pages/JourneyHomePage.tsx
journey_step_tasks,no,
journey_step_template_dependencies,no,
journey_step_templates,no,
journey_step_tips,no,
journey_step_tool_rankings,no,
journey_step_tools,yes,scripts/generate-tool-relationships.js
journey_step_tools_view,no,
journey_steps1,no,
journey_steps_enhanced,no,
journey_tool_relationships,yes,scripts/generate-tool-relationships.js
journey_tools,yes,scripts/generate-tool-relationships.js
logs,no,
messages,no,
notification_batches,no,
notification_preferences,no,
notifications,no,
notifications1,no,
organization_members,no,
organization_terminology,no,
organizations,no,
partner_members,no,
partner_terminology,no,
partners,no,
password_reset_requests,no,
peer_endorsements,no,
peer_insights,no,
permissions,yes,src/api/permissionApi.ts
personalized_paths,no,
phase_validations,no,
phases,yes,src/api/phaseApi.ts
pitch_decks,no,
pmf_measurements,no,
popular_tool_selections,no,
preferences,no,
priority_history,no,
profiles,yes,src/api/profileApi.ts
recommendation_feedback,no,
recommendation_interactions,no,
recommendation_models,no,
reminders,no,
resource_bookmarks,no,
resource_library,no,
resource_views,no,
retention_policies,no,
reusable_styles,no,
reviewer_sessions,no,
role_permissions,no,
roles,yes,src/api/roleApi.ts
service_roles,no,
sessions,yes,src/api/sessionApi.ts
shared_journey_exports,no,
shared_journey_reports,no,
skill_assessments,no,
slides,no,
smart_alert_conditions,no,
smart_alerts,no,
smart_share_links,no,
standup_entries,no,
standup_feedback,no,
standup_tasks,no,
startup_principles,no,
step_batch_operations,no,
step_comments,no,
step_completion_analytics,no,
step_deliverables,no,
step_expert_recommendations,no,
step_feedback,no,
step_instances,no,
step_kpi_templates,no,
step_progress,no,
step_recommendation_group_items,no,
step_recommendation_groups,no,
step_recommendations,no,
step_relationships,yes,journey/pages/JourneyHomePage.tsx
step_requirements,no,
step_resources,no,
step_status_history,no,
step_task_templates,no,
step_template_analytics,no,
step_template_recommendations,no,
step_templates,no,
step_tool_recommendation_templates,no,
step_tools,yes,supabase/migrations/20250505000000_journey_system_unification.sql
steps,yes,src/api/stepApi.ts
synchronization_logs,no,
system_logs,no,
system_settings,no,
task_comments,no,
task_dependencies,yes,BUSINESS_OPS_HUB_JOURNEY_GUIDE_IMPLEMENTATION_PLAN.md
task_learning_resources,no,
task_resources,no,
task_tools,no,
tasks,yes,src/api/taskApi.ts
team_members,no,
team_progress,no,
team_terminology,no,
teams,yes,supabase/migrations/20250429_add_multi_tenant_terminology_system.sql
templates,no,
terminology_ab_test,no,
terminology_ab_test_assignments,no,
terminology_defaults,no,
terminology_feedback,no,
themes,no,
thread_replies,no,
tool_comparisons,no,
tool_feedback,no,
tool_promotion_logs,no,
tool_recommendations,no,
tool_requirement_coverage,no,
tool_requirement_mappings,no,
tool_requirements,no,
tool_roi_data,no,
tool_selection_history,no,
tool_selection_stages,no,
tool_submissions,no,
toollist,no,
tools,yes,scripts/migrate-tools-final.cjs
tools1,no,
trending_feedback_issues,no,
user_accessibility_preferences,no,
user_active_contexts,no,
user_activity_summary,no,
user_assets,no,
user_behavior_analytics,no,
user_journey_preferences,no,
user_journey_progress,no,
user_learning_profiles,no,
user_permissions,no,
user_presence,no,
user_role_assignments,no,
user_task_summary,no,
user_terminology_preferences,no,
user_themes,no,
users,yes,src/api/userApi.ts
white_label_configuration,no,
workflow_automations,no,
workspace_configurations,no,
